,date,volume.x,low_price,high_price,volume.y,earning_yield,operating_earning_yield,ps_ratio,dividend_yield,ev_revenues,price_to_book_value,ev_ebit,pe_ratio,peg_ratio
1294,02/01/2018,3.087M,74.99,76.28,3.087M,2.23%,2.26%,4.392,4.02%,5.001,2.83,50.44,44.76,NA
1981,01/31/2018,5.538M,67.33,68.09,5.538M,-1.11%,,4.978,4.46%,5.711,2.41,NA,NA,NA
1967,01/30/2018,4.551M,67.32,68.85,4.551M,-1.1%,,4.986,4.45%,5.719,2.413,NA,NA,NA
1939,01/29/2018,10.02M,65.85,68.8,10.02M,-14.88%,,4.148,4.32%,4.54,2.158,NA,NA,NA
1897,01/26/2018,3.699M,67.85,68.57,3.699M,-1.09%,,5.035,4.41%,5.768,2.437,NA,NA,NA
1882,01/25/2018,6.147M,67.91,69.25,6.147M,-1.1%,,5.004,4.43%,5.737,2.422,NA,NA,NA
1867,01/24/2018,4.947M,67.61,68.5,4.947M,-1.11%,,4.985,4.45%,5.718,2.413,NA,NA,NA
1853,01/23/2018,3.129M,67.65,68.58,3.129M,-1.1%,,4.994,4.44%,5.727,2.417,NA,NA,NA
1839,01/22/2018,7.590M,61.42,64.36,7.590M,-16.06%,,3.845,4.66%,4.237,2,NA,NA,NA
1792,01/19/2018,3.901M,68.38,69.75,3.901M,-1.09%,,5.048,4.39%,5.781,2.443,NA,NA,NA
1780,01/18/2018,3.659M,69.06,69.88,3.659M,-1.08%,,5.092,4.36%,5.824,2.464,NA,NA,NA
4629,01/17/2018,3.118M,63.79,64.41,3.118M,1.11%,0.82%,3.915,4.77%,4.555,2.37,141.08,90.14,NA
1758,01/16/2018,6.564M,76.37,78.23,6.564M,1%,15.01%,2.778,3.69%,2.879,1.72,6.904,100.04,NA
1708,01/12/2018,5.344M,68.47,69.64,5.344M,-1.09%,,5.07,4.37%,5.803,2.454,NA,NA,NA
1693,01/11/2018,6.423M,68.88,69.94,6.423M,-1.08%,,5.094,4.35%,5.827,2.466,NA,NA,NA
1678,01/10/2018,3.993M,69.29,70.76,3.993M,-1.08%,,5.094,4.35%,5.827,2.466,NA,NA,NA
2067,01/09/2018,5.544M,69.9,70.81,5.544M,-1.06%,,5.177,4.28%,5.91,2.506,NA,NA,NA
2053,01/08/2018,6.202M,62.91,64.92,6.202M,-16.22%,,3.807,4.7%,4.199,1.98,NA,NA,NA
2011,01/05/2018,4.769M,70.54,71.48,4.769M,-1.06%,,5.187,4.28%,5.92,2.511,NA,NA,NA
1996,01/04/2018,4.151M,71.07,72.2,4.151M,-1.05%,,5.25,4.22%,5.983,2.541,NA,NA,NA
1953,01/03/2018,4.394M,71.18,72.96,4.394M,-1.04%,,5.308,4.18%,6.041,2.569,NA,NA,NA
1802,01/02/2018,3.635M,79.24,81.07,3.635M,0.97%,14.53%,2.87,3.57%,2.97,1.777,7.122,103.36,NA
1151,12/29/2017,3.169M,73.63,74.06,3.169M,0.96%,0.72%,4.506,4.15%,5.146,2.727,159.38,103.75,NA
1136,12/28/2017,1.683M,73.22,73.78,1.683M,0.96%,0.72%,4.508,4.15%,5.148,2.729,159.45,103.8,NA
1121,12/27/2017,2.181M,73.08,73.66,2.181M,0.97%,0.72%,4.485,4.17%,5.125,2.715,158.73,103.27,NA
1107,12/26/2017,2.212M,72.97,73.9,2.212M,0.97%,0.72%,4.499,4.16%,5.139,2.723,159.15,103.58,NA
1071,12/22/2017,2.409M,72.44,73.27,2.409M,0.97%,0.72%,4.465,4.19%,5.105,2.702,158.11,102.8,NA
1056,12/21/2017,2.811M,71.79,72.66,2.811M,0.98%,0.73%,4.44,4.22%,5.08,2.687,157.33,102.23,NA
1041,12/20/2017,2.843M,70.95,71.95,2.843M,0.99%,0.73%,4.397,4.26%,5.037,2.661,156,101.24,NA
1013,12/19/2017,4.190M,70.62,71.2,4.190M,1%,0.74%,4.337,4.32%,4.977,2.625,154.15,99.86,NA
999,12/18/2017,3.038M,70.63,71.22,3.038M,1%,0.74%,4.342,4.31%,4.982,2.628,154.28,99.96,NA
957,12/15/2017,6.942M,70.45,71.04,6.942M,1.01%,0.75%,4.32,4.33%,4.96,2.615,153.62,99.46,NA
942,12/14/2017,5.522M,69.87,70.87,5.522M,1.01%,0.75%,4.316,4.34%,4.956,2.612,153.49,99.37,NA
927,12/13/2017,3.972M,69.71,70.12,3.972M,1.01%,0.75%,4.28,4.37%,4.92,2.591,152.39,98.55,NA
913,12/12/2017,4.178M,69.36,70.15,4.178M,1.01%,0.75%,4.284,4.37%,4.924,2.593,152.5,98.63,NA
899,12/11/2017,2.846M,68.9,69.84,2.846M,1.02%,0.76%,4.252,4.4%,4.892,2.573,151.5,97.89,NA
1265,12/08/2017,3.057M,68.28,69.09,3.057M,1.03%,0.77%,4.213,4.44%,4.853,2.55,150.3,97,NA
1250,12/07/2017,3.807M,69.01,69.59,3.807M,1.02%,0.76%,4.246,4.39%,4.886,2.57,151.33,97.76,NA
1235,12/06/2017,3.296M,68.98,70.04,3.296M,1.02%,0.76%,4.238,4.4%,4.878,2.565,151.06,97.56,NA
1221,12/05/2017,2.717M,69.84,70.45,2.717M,1.01%,0.75%,4.282,4.36%,4.922,2.592,152.44,98.59,NA
1207,12/04/2017,3.646M,69.99,71.14,3.646M,1.01%,0.75%,4.286,4.35%,4.926,2.594,152.56,98.68,NA
871,12/01/2017,4.972M,69.77,71.09,4.972M,1.01%,0.75%,4.297,4.34%,4.937,2.601,152.9,98.93,NA
4103,11/30/2017,9.433M,68.97,72.05,9.433M,-10.05%,,5.232,4.22%,5.731,2.446,NA,NA,NA
4073,11/29/2017,3.976M,66.85,68,3.976M,-10.61%,,4.954,4.45%,5.453,2.316,NA,NA,NA
4059,11/28/2017,3.837M,68.28,70.18,3.837M,-10.48%,,5.014,4.4%,5.513,2.344,NA,NA,NA
4047,11/27/2017,1.415M,74.47,75.23,1.415M,-10.39%,7.17%,3.571,3.91%,3.908,1.921,15.27,NA,NA
4014,11/24/2017,4.274M,73.94,76.17,4.274M,-10.29%,7.1%,3.604,3.88%,3.941,1.939,15.4,NA,NA
3990,11/22/2017,5.663M,68.72,70.15,5.663M,-10.35%,,5.08,4.34%,5.579,2.375,NA,NA,NA
3979,11/21/2017,4.331M,69.1,70.25,4.331M,-10.36%,,5.075,4.35%,5.574,2.373,NA,NA,NA
3965,11/20/2017,3.241M,73.93,75.55,3.241M,-10.55%,7.28%,3.518,3.97%,3.856,1.893,15.06,NA,NA
3908,11/17/2017,6.668M,67.7,70.29,6.668M,-10.57%,,4.971,4.44%,5.47,2.324,NA,NA,NA
3893,11/16/2017,7.106M,68.16,69.88,7.106M,-10.4%,,5.053,4.37%,5.552,2.363,NA,NA,NA
3878,11/15/2017,7.443M,66.19,68.84,7.443M,-10.47%,,5.021,4.39%,5.52,2.348,NA,NA,NA
3864,11/14/2017,8.700M,64.37,66.06,8.700M,-10.9%,,4.822,4.58%,5.321,2.254,NA,NA,NA
3850,11/13/2017,3.691M,72.33,73.92,3.691M,-10.63%,7.33%,3.491,4%,3.828,1.878,14.96,NA,NA
3808,11/10/2017,9.215M,65.6,66.98,9.215M,-10.91%,,4.818,4.58%,5.317,2.252,NA,NA,NA
4188,11/09/2017,8.583M,66.12,67.66,8.583M,-10.72%,,4.905,4.5%,5.404,2.293,NA,NA,NA
4173,11/08/2017,4.283M,66.46,67.43,4.283M,-10.72%,,4.904,4.5%,5.403,2.293,NA,NA,NA
4159,11/07/2017,5.856M,66.8,67.82,5.856M,-10.66%,,4.93,4.48%,5.429,2.305,NA,NA,NA
4145,11/06/2017,3.651M,74.32,75.62,3.651M,-10.4%,7.18%,3.566,3.92%,3.903,1.919,15.25,NA,NA
4088,11/03/2017,7.863M,66.83,68,7.863M,-10.63%,,4.945,4.46%,5.444,2.312,NA,NA,NA
3951,11/02/2017,5.810M,67.1,68.87,5.810M,-10.58%,,4.97,4.44%,5.469,2.324,NA,NA,NA
3793,11/01/2017,13.05M,67.66,72.84,13.05M,-10.39%,,5.059,4.36%,5.558,2.365,NA,NA,NA
4542,10/31/2017,4.722M,72.55,73.69,4.722M,-9.83%,,5.345,4.13%,5.844,2.499,NA,NA,NA
4528,10/30/2017,4.684M,73.55,75.53,4.684M,-10.48%,7.23%,3.54,3.95%,3.877,1.904,15.15,NA,NA
4474,10/27/2017,4.125M,73.72,74.89,4.125M,-9.72%,,5.41,4.08%,5.909,2.529,NA,NA,NA
4459,10/26/2017,3.678M,73.29,74.58,3.678M,-9.64%,,5.454,4.05%,5.953,2.55,NA,NA,NA
4444,10/25/2017,4.944M,74.35,75.5,4.944M,-9.63%,,5.457,4.04%,5.956,2.551,NA,NA,NA
4430,10/24/2017,6.117M,73.9,75.4,6.117M,-9.56%,,5.501,4.01%,6,2.572,NA,NA,NA
4416,10/23/2017,4.027M,73.34,74.48,4.027M,-10.6%,7.31%,3.5,3.99%,3.838,1.883,14.99,NA,NA
4374,10/20/2017,4.089M,73.38,74.71,4.089M,-9.68%,,5.432,4.06%,5.932,2.54,NA,NA,NA
4345,10/19/2017,5.841M,72.97,75.6,5.841M,-9.62%,,5.462,4.04%,5.962,2.554,NA,NA,NA
4330,10/18/2017,3.814M,71.77,73.31,3.814M,-9.88%,,5.32,4.15%,5.82,2.487,NA,NA,NA
4316,10/17/2017,5.608M,71.86,73.22,5.608M,-9.89%,,5.313,4.15%,5.812,2.484,NA,NA,NA
4302,10/16/2017,5.192M,73.49,75.47,5.192M,-10.53%,7.26%,3.525,3.96%,3.862,1.896,15.09,NA,NA
4260,10/13/2017,4.574M,72.84,74.16,4.574M,-9.7%,,5.418,4.07%,5.917,2.533,NA,NA,NA
4245,10/12/2017,4.129M,73.37,74.45,4.129M,-9.69%,,5.425,4.07%,5.924,2.536,NA,NA,NA
4230,10/11/2017,3.695M,73.28,74.82,3.695M,-9.73%,,5.402,4.08%,5.902,2.526,NA,NA,NA
4216,10/10/2017,3.766M,74.03,74.87,3.766M,-9.59%,,5.482,4.03%,5.981,2.563,NA,NA,NA
4628,10/09/2017,5.816M,73.33,74.61,5.816M,-10.62%,7.32%,3.495,4%,3.833,1.88,14.97,NA,NA
4586,10/06/2017,5.269M,72.6,74,5.269M,-9.75%,,5.391,4.09%,5.891,2.521,NA,NA,NA
4571,10/05/2017,4.197M,72.47,73.53,4.197M,-9.88%,,5.318,4.15%,5.817,2.486,NA,NA,NA
4556,10/04/2017,4.533M,72.09,73.23,4.533M,-9.87%,,5.326,4.14%,5.825,2.49,NA,NA,NA
4515,10/03/2017,3.002M,72.43,73.18,3.002M,-9.85%,,5.339,4.13%,5.838,2.496,NA,NA,NA
4359,10/02/2017,4.840M,65.22,68.79,4.840M,-11.36%,7.84%,3.267,4.28%,3.606,1.757,14.09,NA,NA
771,08/31/2017,3.730M,59.29,59.9,3.730M,0.23%,0.11%,3.761,5.09%,4.386,2.17,1065.02,426.43,NA
4987,08/31/2017,6.786M,45.66,48.23,6.786M,12.99%,20.48%,2.228,1.66%,2.328,2.157,4.99,7.696,0.214
756,08/30/2017,2.856M,58.69,59.23,2.856M,0.24%,0.11%,3.728,5.14%,4.353,2.15,1056.92,422.64,NA
4972,08/30/2017,625600,10.46,10.82,625600,17.14%,48.39%,0.7137,4.65%,1.495,1.889,5.284,5.833,NA
727,08/29/2017,2.825M,58.71,59.38,2.825M,0.24%,0.11%,3.722,5.15%,4.347,2.147,1055.54,422,NA
4943,08/29/2017,3.104M,74.32,75.7,3.104M,6.54%,11.55%,3.515,1.82%,3.477,1.981,8.473,15.3,2.438
713,08/28/2017,2.381M,58.78,59.48,2.381M,0.24%,0.11%,3.725,5.14%,4.35,2.149,1056.3,422.36,NA
4929,08/28/2017,4.654M,74.67,76.17,4.654M,6.15%,9.99%,3.364,1.73%,3.409,2.188,10.1,16.26,NA
671,08/25/2017,1.926M,59.03,59.43,1.926M,0.24%,0.11%,3.731,5.13%,4.356,2.152,1057.68,423,NA
4887,08/25/2017,3.229M,81.12,82.12,3.229M,9.49%,15.2%,2.735,2.55%,2.823,1.67,6.79,10.54,1.13
656,08/24/2017,2.388M,59.06,59.56,2.388M,0.24%,0.11%,3.725,5.14%,4.35,2.149,1056.3,422.36,NA
4872,08/24/2017,8.404M,71.94,74.32,8.404M,6.25%,10.15%,3.31,1.76%,3.355,2.153,9.936,15.99,NA
641,08/23/2017,2.760M,58.86,59.84,2.760M,0.23%,0.11%,3.755,5.1%,4.38,2.166,1063.49,425.71,NA
4857,08/23/2017,6.467M,72.79,75.15,6.467M,11.33%,19.5%,2.569,1.55%,2.427,2.389,5.146,8.827,0.1772
627,08/22/2017,2.564M,59.01,59.45,2.564M,0.24%,0.11%,3.727,5.14%,4.352,2.15,1056.76,422.57,NA
4843,08/22/2017,4.120M,73.07,75.28,4.120M,6.31%,10.24%,3.281,1.78%,3.326,2.134,9.85,15.85,NA
613,08/21/2017,2.789M,58.44,59.21,2.789M,0.24%,0.11%,3.707,5.17%,4.332,2.138,1051.87,420.29,NA
4829,08/21/2017,3.646M,74.73,75.77,3.646M,6.15%,9.98%,3.365,1.73%,3.41,2.189,10.1,16.26,NA
557,08/18/2017,4.043M,58.71,59.32,4.043M,0.24%,0.11%,3.726,5.14%,4.352,2.15,1056.61,422.5,NA
4773,08/18/2017,15.54M,69.87,79.15,15.54M,10.79%,18.57%,2.698,1.48%,2.548,2.509,5.403,9.27,0.1861
542,08/17/2017,4.146M,58.92,59.71,4.146M,0.24%,0.11%,3.712,5.16%,4.337,2.141,1053.09,420.86,NA
4758,08/17/2017,6.777M,58.34,61.5,6.777M,9.09%,13.57%,2.995,1.49%,2.97,2.407,6.481,11,NA
527,08/16/2017,3.687M,59.56,60.92,3.687M,0.23%,0.11%,3.761,5.09%,4.386,2.17,1065.02,426.43,NA
4743,08/16/2017,1.579M,26.03,26.34,1.579M,9.21%,17.22%,2.063,2.07%,2.454,2.282,6.737,10.86,0.3683
513,08/15/2017,3.133M,60.3,61.08,3.133M,0.23%,0.11%,3.819,5.01%,4.444,2.203,1079.09,433,NA
4729,08/15/2017,2.873M,41.1,41.55,2.873M,10.55%,15.61%,2.672,1.45%,2.86,2.612,7.012,9.478,0.1165
499,08/14/2017,2.464M,60.9,61.69,2.464M,0.23%,0.11%,3.858,4.96%,4.483,2.226,1088.57,437.43,NA
4715,08/14/2017,7.908M,42.22,42.86,7.908M,14.09%,22.22%,2.054,1.8%,2.154,1.989,4.617,7.096,0.1973
457,08/11/2017,2.475M,60.93,61.37,2.475M,0.23%,0.11%,3.851,4.97%,4.476,2.222,1086.89,436.64,NA
4673,08/11/2017,6.399M,43.74,44.49,6.399M,13.61%,21.46%,2.126,1.74%,2.226,2.059,4.772,7.345,0.2043
442,08/10/2017,2.991M,61.2,62.01,2.991M,0.23%,0.11%,3.864,4.96%,4.49,2.229,1090.1,438.14,NA
4658,08/10/2017,1.191M,14.16,14.34,1.191M,4.25%,15.55%,1.574,3.51%,2.15,1.838,7.824,23.54,NA
856,08/09/2017,2.483M,61.28,61.98,2.483M,0.23%,0.11%,3.884,4.93%,4.51,2.241,1094.99,440.43,NA
842,08/08/2017,3.230M,61.18,62.14,3.230M,0.23%,0.11%,3.865,4.96%,4.49,2.23,1090.25,438.21,NA
828,08/07/2017,3.204M,61.64,62.1,3.204M,0.23%,0.11%,3.895,4.92%,4.521,2.247,1097.59,441.64,NA
786,08/04/2017,3.314M,61.55,62.21,3.314M,0.23%,0.11%,3.912,4.9%,4.537,2.257,1101.57,443.5,NA
5002,08/04/2017,4.402M,80.02,81.12,4.402M,8.73%,13.8%,3.017,2.17%,3.08,1.875,7.305,11.45,0.2592
742,08/03/2017,5.769M,60.75,62.23,5.769M,0.23%,0.11%,3.878,4.94%,4.503,2.237,1093.31,439.64,NA
4958,08/03/2017,5.082M,91.8,93.51,5.082M,7.76%,9.49%,3.914,3.04%,4.18,1.645,11.25,12.88,0.5029
585,08/02/2017,5.935M,60.41,61.39,5.935M,0.23%,0.11%,3.866,4.95%,4.492,2.23,1090.56,438.36,NA
4801,08/02/2017,5.378M,77.31,80.51,5.378M,9.14%,14.44%,2.883,2.27%,2.946,1.791,6.987,10.94,0.2476
427,08/01/2017,2.916M,61.07,62.12,2.916M,0.23%,0.11%,3.876,4.94%,4.502,2.236,1093,439.5,NA
4643,08/01/2017,762100,11.21,11.45,762100,-0.93%,4.76%,1.16,4.41%,2.133,2.752,21.34,NA,NA
2421,07/31/2017,4.102M,61.67,62.71,4.102M,0.23%,0.11%,3.902,4.91%,4.527,2.251,1099.12,442.36,NA
2368,07/28/2017,3.985M,61.95,63.02,3.985M,0.22%,0.1%,3.952,4.85%,4.577,2.28,1111.35,448.07,NA
2353,07/27/2017,4.622M,61.08,62.16,4.622M,0.23%,0.11%,3.915,4.89%,4.54,2.258,1102.33,443.86,NA
2338,07/26/2017,3.538M,60.86,61.98,3.538M,0.23%,0.11%,3.88,4.94%,4.505,2.238,1093.92,439.93,NA
2324,07/25/2017,3.941M,60.1,61.57,3.941M,0.23%,0.11%,3.844,4.98%,4.469,2.217,1085.05,435.79,NA
2310,07/24/2017,2.751M,59.31,60.21,2.751M,0.24%,0.11%,3.743,5.12%,4.368,2.159,1060.59,424.36,NA
2268,07/21/2017,3.419M,59.99,60.5,3.419M,0.23%,0.11%,3.782,5.06%,4.407,2.182,1070.07,428.79,NA
2253,07/20/2017,0,60.89,60.89,0,0.23%,0.11%,3.836,4.99%,4.461,2.213,1083.22,434.93,NA
2224,07/19/2017,4.063M,59.73,60.9,4.063M,0.23%,0.11%,3.836,4.99%,4.461,2.213,1083.22,434.93,NA
2210,07/18/2017,3.614M,59.88,60.42,3.614M,0.23%,0.11%,3.795,5.05%,4.42,2.189,1073.28,430.29,NA
2196,07/17/2017,3.967M,59.68,60.88,3.967M,0.23%,0.11%,3.782,5.06%,4.408,2.182,1070.22,428.86,NA
2154,07/14/2017,2.575M,59.42,59.93,2.575M,0.23%,0.11%,3.769,5.08%,4.394,2.174,1066.86,427.29,NA
2139,07/13/2017,3.054M,58.6,59.52,3.054M,0.24%,0.11%,3.748,5.11%,4.374,2.162,1061.96,425,NA
2124,07/12/2017,3.356M,59,59.77,3.356M,0.24%,0.11%,3.727,5.14%,4.352,2.15,1056.76,422.57,NA
2110,07/11/2017,2.757M,58.47,59.18,2.757M,0.24%,0.11%,3.713,5.16%,4.338,2.142,1053.4,421,NA
2096,07/10/2017,2.778M,58.38,59.16,2.778M,0.24%,0.11%,3.702,5.17%,4.328,2.136,1050.8,419.79,NA
2462,07/07/2017,3.257M,57.84,58.75,3.257M,0.24%,0.11%,3.697,5.18%,4.322,2.133,1049.42,419.14,NA
2447,07/06/2017,4.341M,58.62,59.92,4.341M,0.24%,0.11%,3.709,5.16%,4.334,2.14,1052.33,420.5,NA
2432,07/05/2017,4.070M,59.66,61.08,4.070M,0.23%,0.11%,3.764,5.09%,4.39,2.172,1065.78,426.79,NA
2393,07/03/2017,2.807M,60.13,61.56,2.807M,0.23%,0.11%,3.859,4.96%,4.485,2.226,1088.88,437.57,NA
2833,06/30/2017,4.708M,59.29,60.37,4.708M,0.23%,0.11%,3.772,5.08%,4.397,2.176,1067.62,427.64,NA
2804,06/29/2017,3.960M,59.69,60.7,3.960M,-1.17%,,4.119,5.08%,4.872,2.169,NA,NA,NA
2789,06/28/2017,4.533M,59.32,60.08,4.533M,-1.18%,,4.103,5.1%,4.856,2.161,NA,NA,NA
2775,06/27/2017,2.976M,59.59,60.34,2.976M,-1.17%,,4.107,5.1%,4.86,2.163,NA,NA,NA
2761,06/26/2017,3.687M,59.39,60.44,3.687M,-1.17%,,4.134,5.07%,4.886,2.177,NA,NA,NA
2719,06/23/2017,4.844M,59.71,60.59,4.844M,-1.16%,,4.141,5.06%,4.894,2.181,NA,NA,NA
2704,06/22/2017,3.700M,59.66,61.03,3.700M,-1.16%,,4.147,5.05%,4.9,2.184,NA,NA,NA
2689,06/21/2017,4.975M,59.63,61.27,4.975M,-1.17%,,4.124,5.08%,4.877,2.172,NA,NA,NA
2675,06/20/2017,4.150M,59.67,61,4.150M,-1.15%,,4.186,5%,4.938,2.204,NA,NA,NA
2646,06/19/2017,6.818M,61.32,62.12,6.818M,-1.13%,,4.273,4.9%,5.025,2.25,NA,NA,NA
2604,06/16/2017,6.439M,59.53,61.91,6.439M,-1.13%,,4.259,4.92%,5.012,2.243,NA,NA,NA
2589,06/15/2017,3.983M,58.9,60.21,3.983M,-1.18%,,4.092,5.12%,4.844,2.155,NA,NA,NA
2574,06/14/2017,4.894M,59.53,60.88,4.894M,-1.16%,,4.141,5.06%,4.894,2.181,NA,NA,NA
2560,06/13/2017,4.041M,60.46,61.41,4.041M,-1.15%,,4.202,4.98%,4.954,2.213,NA,NA,NA
2546,06/12/2017,5.823M,60.73,62.16,5.823M,-1.15%,,4.191,5%,4.944,2.207,NA,NA,NA
2919,06/09/2017,6.237M,58.67,61.2,6.237M,-1.15%,,4.202,4.98%,4.955,2.213,NA,NA,NA
2904,06/08/2017,10.78M,58.07,59.79,10.78M,-1.19%,,4.037,5.19%,4.79,2.126,NA,NA,NA
2889,06/07/2017,9.862M,59.67,61.45,9.862M,-1.16%,,4.142,5.06%,4.894,2.181,NA,NA,NA
2875,06/06/2017,7.536M,59.89,61.86,7.536M,-1.14%,,4.246,4.91%,4.999,2.236,NA,NA,NA
2861,06/05/2017,5.404M,59.47,60.32,5.404M,-1.17%,,4.137,5.04%,4.89,2.178,NA,NA,NA
2661,06/02/2017,6.778M,59.66,60.7,6.778M,-1.15%,,4.181,4.99%,4.934,2.202,NA,NA,NA
2505,06/01/2017,7.531M,58.79,60.8,7.531M,-1.16%,,4.168,5.01%,4.92,2.195,NA,NA,NA
3694,05/31/2017,7.475M,58.91,59.99,7.475M,-1.19%,,4.059,5.14%,4.812,2.138,NA,NA,NA
3683,05/30/2017,3.381M,60,60.75,3.381M,-1.16%,,4.141,5.04%,4.894,2.181,NA,NA,NA
3624,05/26/2017,4.675M,60.71,61.52,4.675M,-1.15%,,4.202,4.97%,4.954,2.213,NA,NA,NA
3612,05/25/2017,4.688M,60.24,61.36,4.688M,-1.15%,,4.182,4.99%,4.934,2.202,NA,NA,NA
3600,05/24/2017,4.697M,60.85,61.79,4.697M,-1.14%,,4.213,4.95%,4.965,2.218,NA,NA,NA
3586,05/23/2017,3.827M,60.55,61.61,3.827M,-1.14%,,4.24,4.92%,4.993,2.233,NA,NA,NA
3572,05/22/2017,3.009M,60.23,61.04,3.009M,-1.16%,,4.173,5%,4.926,2.198,NA,NA,NA
3516,05/19/2017,4.443M,60.51,61.24,4.443M,-1.15%,,4.177,5%,4.929,2.2,NA,NA,NA
3501,05/18/2017,3.506M,59.52,60.65,3.506M,-1.16%,,4.153,5.03%,4.905,2.187,NA,NA,NA
3486,05/17/2017,4.053M,60.03,60.87,4.053M,-1.16%,,4.151,5.03%,4.904,2.186,NA,NA,NA
3472,05/16/2017,3.515M,60.24,61.47,3.515M,-1.16%,,4.169,5.01%,4.922,2.196,NA,NA,NA
3458,05/15/2017,5.417M,61.06,62.12,5.417M,-1.14%,,4.223,4.94%,4.976,2.224,NA,NA,NA
3416,05/12/2017,3.676M,60.77,61.39,3.676M,-1.15%,,4.193,4.98%,4.945,2.208,NA,NA,NA
3401,05/11/2017,3.925M,60.78,61.65,3.925M,-1.15%,,4.206,4.96%,4.959,2.215,NA,NA,NA
3386,05/10/2017,5.881M,60.24,61.48,5.881M,-1.14%,,4.224,4.94%,4.977,2.225,NA,NA,NA
3780,05/09/2017,4.491M,59.8,60.62,4.491M,-1.17%,,4.124,5.06%,4.877,2.172,NA,NA,NA
3766,05/08/2017,5.637M,60.05,60.67,5.637M,-1.16%,,4.174,5%,4.927,2.198,NA,NA,NA
3724,05/05/2017,7.710M,58.13,60.42,7.710M,-1.16%,,4.16,5.02%,4.913,2.191,NA,NA,NA
3709,05/04/2017,11.59M,57.2,59.64,11.59M,-1.21%,,3.996,5.22%,4.749,2.104,NA,NA,NA
3672,05/03/2017,6.641M,59.66,60.31,6.641M,-1.16%,,4.144,5.04%,4.897,2.182,NA,NA,NA
3530,05/02/2017,5.448M,59.39,61.09,5.448M,-1.17%,,4.136,5.05%,4.888,2.178,NA,NA,NA
3372,05/01/2017,4.615M,60.5,61.6,4.615M,-1.15%,,4.189,4.98%,4.942,2.206,NA,NA,NA
289,04/28/2017,3.724M,61.35,62.04,3.724M,-1.14%,,4.239,4.92%,4.992,2.232,NA,NA,NA
274,04/27/2017,6.501M,61.03,62.25,6.501M,-1.14%,,4.238,4.93%,4.99,2.232,NA,NA,NA
259,04/26/2017,3.554M,61.95,62.92,3.554M,-1.12%,,4.3,4.85%,5.053,2.264,NA,NA,NA
245,04/25/2017,3.385M,62.07,62.59,3.385M,-1.12%,,4.305,4.85%,5.058,2.267,NA,NA,NA
231,04/24/2017,2.945M,61.71,62.51,2.945M,-1.13%,,4.275,4.88%,5.028,2.251,NA,NA,NA
190,04/21/2017,4.400M,61.48,62.28,4.400M,-1.13%,,4.261,4.9%,5.014,2.244,NA,NA,NA
176,04/20/2017,4.094M,61.8,62.32,4.094M,-1.13%,,4.266,4.89%,5.018,2.246,NA,NA,NA
149,04/19/2017,5.447M,61.71,63.12,5.447M,-1.13%,,4.268,4.89%,5.02,2.247,NA,NA,NA
135,04/18/2017,4.390M,62.69,64.14,4.390M,-1.12%,,4.319,4.83%,5.071,2.274,NA,NA,NA
123,04/17/2017,4.065M,63.63,64.15,4.065M,-1.09%,,4.41,4.73%,5.163,2.322,NA,NA,NA
68,04/13/2017,4.682M,63.92,65.1,4.682M,-1.09%,,4.414,4.73%,5.167,2.325,NA,NA,NA
54,04/12/2017,6.533M,64.76,65.73,6.533M,-1.08%,,4.481,4.66%,5.234,2.36,NA,NA,NA
40,04/11/2017,4.829M,63.9,65.05,4.829M,-1.08%,,4.476,4.66%,5.228,2.357,NA,NA,NA
26,04/10/2017,4.063M,63.24,64.44,4.063M,-1.09%,,4.418,4.72%,5.171,2.326,NA,NA,NA
386,04/07/2017,3.870M,62.92,63.55,3.870M,-1.11%,,4.339,4.81%,5.091,2.285,NA,NA,NA
371,04/06/2017,4.286M,63.17,63.78,4.286M,-1.11%,,4.359,4.79%,5.111,2.295,NA,NA,NA
358,04/05/2017,4.732M,63.32,64.87,4.732M,-1.1%,,4.369,4.78%,5.122,2.301,NA,NA,NA
344,04/04/2017,3.051M,62.91,64.02,3.051M,-1.09%,,4.409,4.73%,5.162,2.322,NA,NA,NA
316,04/03/2017,4.324M,62.71,63.88,4.324M,-1.1%,,4.39,4.75%,5.143,2.312,NA,NA,NA
3273,03/31/2017,6.521M,63.1,64.32,6.521M,-1.1%,,4.364,4.78%,5.117,2.298,NA,NA,NA
3258,03/30/2017,8.501M,63.52,64.5,8.501M,-1.17%,,4.721,4.71%,5.455,2.286,NA,NA,NA
3228,03/29/2017,4.351M,63.04,63.94,4.351M,-1.18%,,4.685,4.75%,5.419,2.268,NA,NA,NA
3216,03/28/2017,4.961M,62.56,63.62,4.961M,-1.18%,,4.657,4.78%,5.392,2.255,NA,NA,NA
3202,03/27/2017,3.350M,62.1,62.99,3.350M,-1.19%,,4.618,4.82%,5.352,2.236,NA,NA,NA
3162,03/24/2017,4.229M,62.43,63.42,4.229M,-1.19%,,4.615,4.82%,5.35,2.235,NA,NA,NA
3147,03/23/2017,3.975M,62.97,63.72,3.975M,-1.19%,,4.63,4.81%,5.365,2.242,NA,NA,NA
3132,03/22/2017,4.985M,62.78,63.7,4.985M,-1.18%,,4.665,4.77%,5.4,2.259,NA,NA,NA
3118,03/21/2017,6.447M,63.27,64.06,6.447M,-1.18%,,4.654,4.78%,5.388,2.254,NA,NA,NA
