Date,Open,High,Low,Close,Adj Close,PE Ratio,EV to EBIT,Operating_Earning_Yield,PEG Ratio,PS Ratio,Market Cap,Operating Yields,Price to book value,EV to revenues,Dividend_yield
2/1/2013,36.84,37.200001,36.52,37.18,30.972828,11.1,11.38,0.01,,3.928,76.69B,0.09,,3.609,
2/4/2013,36.639999,37.299999,36.549999,37.279999,31.056143,11.13,11.41,0.01,,3.959,78.20B,0.09,,3.618,
2/5/2013,37.419998,37.73,37.18,37.200001,30.9895,11.1,11.39,0.01,,4.046,75.22B,0.09,,3.611,
2/6/2013,36.959999,37.279999,36.860001,37.139999,30.939518,11.09,11.37,0.01,,4.068,76.17B,0.09,,3.606,
2/7/2013,37.57,37.57,35.799999,36.419998,30.339716,10.87,11.18,0,,4.104,75.82B,0.09,,3.544,
2/8/2013,36.369999,36.419998,35.830002,36.25,30.198107,10.82,11.13,0,,4.179,76.14B,0.09,,3.53,
2/11/2013,36.130001,36.18,35.75,35.849998,29.864882,10.7,11.02,0.1,,4.228,77.66B,0.09,,3.495,
2/12/2013,35.77,35.900002,35.200001,35.419998,29.506664,10.57,10.9,0.1,,4.239,78.71B,0.09,,3.458,
2/13/2013,35.419998,35.57,35.150002,35.27,29.381716,10.53,10.86,0.1,,4.169,78.89B,0.1,,3.446,
2/14/2013,35.049999,36.73,35.009998,36.57,30.46468,10.92,11.22,0.1,,4.154,80.32B,0.09,,3.557,
2/15/2013,36.93,37.810001,36.93,37.580002,31.306055,11.22,11.49,0.1,,4.3,79.98B,0.09,,3.644,
2/19/2013,37.540001,38.330002,37.110001,38.189999,31.81422,11.4,11.65,0.1,,4.343,80.59B,0.09,,3.696,
2/20/2013,38.16,39.130001,37.610001,38.610001,32.164097,11.53,11.77,0.1,,4.403,81.75B,0.09,,3.732,
2/21/2013,38.490002,39.029999,38.189999,38.779999,32.305717,11.58,11.81,0.1,,4.363,81.32B,0.09,,3.747,
2/22/2013,38.790001,38.849998,38.139999,38.459999,32.039135,11.48,11.73,0.1,,4.327,82.38B,0.09,,3.719,
2/25/2013,38.540001,38.610001,37.369999,37.369999,31.131119,11.16,11.43,0.1,,4.342,81.08B,0.09,,3.626,
2/26/2013,37.599998,37.599998,36.959999,37.09,30.897873,11.07,11.36,0.1,,4.304,80.78B,0.09,,3.602,
2/27/2013,36.970001,36.98,36.400002,36.73,30.597971,10.96,11.26,0.1,,4.463,80.57B,0.09,,3.571,
2/28/2013,36.66,37.139999,36.5,36.919998,30.756245,11.02,11.31,0.1,,4.409,80.60B,0.09,,3.587,
3/1/2013,36.799999,38.07,36.549999,37.810001,31.497665,11.29,11.55,0.1,,4.418,80.87B,0.09,,3.664,
3/4/2013,37.529999,38.25,37.529999,38.240002,31.855867,11.41,11.67,0.1,,4.427,80.87B,0.09,,3.7,
3/5/2013,38.450001,38.57,37.290001,37.509998,31.247749,11.2,11.47,0.1,,4.413,79.57B,0.09,,3.638,
3/6/2013,37.560001,37.860001,37.369999,37.740002,31.439344,11.27,11.53,0.1,,4.47,81.95B,0.09,,3.658,
3/7/2013,37.650002,38.009998,37.439999,37.490002,31.231087,11.19,11.47,0.1,,4.454,82.13B,0.09,,3.636,
3/8/2013,37.639999,37.650002,37.16,37.34,31.106125,11.15,11.46,0.1,,4.475,82.67B,0.09,,3.635,
3/11/2013,37.25,38.150002,37.080002,37.669998,31.381029,11.24,11.55,0.1,,4.574,81.75B,0.09,,3.663,
3/12/2013,37.700001,38.299999,37.049999,37.169998,30.964506,11.1,11.41,0.1,,4.526,82.06B,0.09,,3.62,
3/13/2013,37.200001,37.59,37.040001,37.169998,30.964506,11.1,11.41,0.1,,4.503,82.21B,0.09,,3.62,
3/14/2013,37.43,37.59,36.860001,37.560001,31.289394,11.21,11.52,0.1,,4.534,82.42B,0.09,,3.654,
3/15/2013,37.439999,38.540001,37.279999,38.5,32.072464,11.49,11.78,0.1,,4.561,81.91B,0.09,,3.734,
3/18/2013,38.049999,38.490002,37.990002,38.16,31.78923,11.39,11.68,0.1,,4.564,81.73B,0.09,,3.705,
3/19/2013,38.25,38.400002,37.84,38.360001,31.955845,11.45,11.74,0.1,,4.571,82.96B,0.09,,3.722,
3/20/2013,38.5,39.189999,38.41,39.060001,32.538975,11.66,11.93,0.09,,4.568,84.75B,0.09,,3.783,
3/21/2013,38.82,38.970001,38.48,38.490002,32.06414,11.49,11.77,0.1,,4.593,84.77B,0.09,,3.734,
3/22/2013,38.57,38.970001,38.299999,38.970001,32.463993,11.63,11.9,0.09,,4.578,85.68B,0.09,,3.775,
3/25/2013,39.119999,39.52,38.93,39.32,32.755569,11.74,12,0.09,,4.596,85.32B,0.09,,3.805,
3/26/2013,39.57,40.52,39.57,40.209999,33.496975,12,12.24,0.09,,4.614,81.97B,0.08,,3.882,
3/27/2013,40.220001,40.290001,39.66,40.150002,33.447006,11.99,12.22,0.09,,4.675,82.50B,0.08,,3.877,
3/28/2013,40.259998,40.799999,39.779999,40.779999,33.971825,12.17,12.4,0.09,,4.658,82.20B,0.08,,3.931,
4/1/2013,39.959999,41.139999,39.959999,41.119999,34.255054,12.13,11.85,0.09,,4.552,82.45B,0.08,22.02,3.921,
4/2/2013,41.220001,41.220001,40.52,40.709999,33.913513,12.01,11.74,0.1,,4.562,81.37B,0.08,21.8,3.886,
4/3/2013,40.75,41.450001,40.349998,40.57,33.796886,11.97,11.71,0.1,,4.584,81.73B,0.08,21.73,3.874,
4/4/2013,40.77,41.779999,40.619999,41.599998,34.65493,12.27,11.97,0.09,,4.536,82.84B,0.08,22.28,3.962,
4/5/2013,41.310001,41.5,41.09,41.310001,34.413338,12.19,11.9,0.09,,4.579,84.81B,0.08,22.13,3.937,
4/8/2013,41.27,41.869999,41.07,41.77,34.796555,12.32,12.02,0.09,,4.565,85.07B,0.08,22.37,3.977,
4/9/2013,41.959999,43.560001,41.799999,42.549999,35.446327,12.55,12.22,0.09,,4.59,83.00B,0.08,22.79,4.043,
4/10/2013,42.650002,43.77,42.5,43.619999,36.337692,12.87,12.49,0.09,,4.279,75.86B,0.08,23.36,4.135,
4/11/2013,43.419998,43.709999,43.110001,43.200001,36.320877,12.74,12.39,0.09,,4.151,74.34B,0.08,23.14,4.099,
4/12/2013,42.970001,43.290001,42.619999,43.09,36.228394,12.71,12.36,0.09,,4.28,75.70B,0.08,23.08,4.089,
4/15/2013,42.869999,43.029999,41.41,41.439999,34.841141,12.22,11.93,0.09,,4.003,75.57B,0.08,22.19,3.948,
4/16/2013,41.669998,42.529999,41.130001,42.450001,35.690311,12.52,12.19,0.09,,3.928,76.69B,0.08,22.74,4.035,
4/17/2013,42.139999,42.43,41.419998,42.240002,35.513748,12.46,12.14,0.09,,3.959,78.20B,0.08,22.62,4.017,
4/18/2013,42.369999,42.639999,41.889999,42.32,35.581001,12.48,12.16,0.09,,4.046,75.22B,0.08,22.67,4.024,
4/19/2013,42.509998,42.580002,42.200001,42.389999,35.639858,12.5,12.18,0.09,,4.068,76.17B,0.08,22.7,4.03,
4/22/2013,43,44.830002,42.880001,44.200001,37.16164,13.04,12.64,0.09,,4.104,75.82B,0.08,23.67,4.184,
4/23/2013,44.610001,46.32,44.400002,45.139999,37.951954,13.32,12.89,0.09,,4.179,76.14B,0.08,24.18,4.264,
4/24/2013,45.139999,45.34,43.939999,44.32,37.262527,13.07,12.68,0.09,,4.228,77.66B,0.08,23.74,4.194,
4/25/2013,44.75,44.790001,43.759998,44.240002,37.195267,13.05,12.65,0.09,,4.239,78.71B,0.08,23.69,4.188,
4/26/2013,44.950001,46.310001,44.75,45.84,38.540485,13.52,13.07,0.08,,4.169,78.89B,0.07,24.55,4.324,
4/29/2013,45.830002,45.93,45.049999,45.23,38.027618,13.34,12.91,0.09,,4.154,80.32B,0.08,24.22,4.272,
4/30/2013,45.049999,46.23,45.009998,46.049999,38.717033,13.58,13.12,0.08,,4.3,79.98B,0.07,24.66,4.342,
5/1/2013,45.740002,46.09,45.549999,45.549999,38.296658,3.44,2.99,0.52,,4.343,80.59B,0.07,24.4,4.3,
5/2/2013,45.68,45.68,43.860001,43.990002,36.985081,2.98,2.59,0.82,,4.403,81.75B,0.08,23.56,4.166,
5/3/2013,44.310001,44.77,43.830002,44.68,37.565201,3.18,2.77,0.68,,4.363,81.32B,0.08,23.93,4.225,
